Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play with stopwords,Closest distance with stopwords,All agree,Stopwords agree,Same author Manual or Spacy,Same author Manual,Same author with stopwords
racine-athalie,racine-esther,0.0067,racine-esther,0.0091,racine-esther,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
racine-esther,racine-athalie,0.0067,racine-athalie,0.0091,racine-athalie,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
marivaux-joie-imprevue,marivaux-fausses-confidences,0.0075,marivaux-jeu-de-l-amour-et-du-hasard,0.011,marivaux-mere-confidente,0.002,FALSE,FALSE,TRUE,TRUE,TRUE
sophocle-philoctete,sophocle-electre,0.0096,sophocle-electre,0.012,sophocle-electre,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
dancourt-mari-retrouve,dancourt-colin-maillard,0.0078,dancourt-colin-maillard,0.0128,dancourt-colin-maillard,0.002,TRUE,TRUE,TRUE,TRUE,TRUE
dancourt-vacances,dancourt-curieux,0.0084,dancourt-femme-d-intrigues,0.0142,dancourt-curieux,0.002,FALSE,FALSE,TRUE,TRUE,TRUE
dancourt-curieux,dancourt-diable-boiteux-suite,0.0075,dancourt-chevalier-a-la-mode,0.0157,dancourt-vacances,0.002,FALSE,FALSE,TRUE,TRUE,TRUE
quinault-astrate,corneillet-antiochus,0.0052,corneillet-theodat,0.0046,quinault-agrippa,0.0021,FALSE,FALSE,FALSE,FALSE,TRUE
corneillep-pulcherie,corneillep-othon,0.0039,corneillep-tite,0.0047,corneillep-surena,0.0021,FALSE,FALSE,TRUE,TRUE,TRUE
du-ryer-themistocle,du-ryer-dynamis,0.004,du-ryer-dynamis,0.005,du-ryer-nitocris,0.0021,FALSE,TRUE,TRUE,TRUE,TRUE
moliere-ecole-des-maris,moliere-ecole-des-femmes,0.0038,moliere-femmes-savantes,0.0052,moliere-ecole-des-femmes,0.0021,FALSE,FALSE,TRUE,TRUE,TRUE
marivaux-jeu-de-l-amour-et-du-hasard,marivaux-serments-indiscrets,0.0048,marivaux-serments-indiscrets,0.0052,marivaux-mere-confidente,0.0021,FALSE,TRUE,TRUE,TRUE,TRUE
du-ryer-nitocris,du-ryer-themistocle,0.0048,du-ryer-anaxandre,0.0054,du-ryer-themistocle,0.0021,FALSE,FALSE,TRUE,TRUE,TRUE
nadal-herode,nadal-mariamne,0.0033,nadal-mariamne,0.0055,nadal-mariamne,0.0021,TRUE,TRUE,TRUE,TRUE,TRUE
nadal-mariamne,nadal-herode,0.0033,nadal-herode,0.0055,nadal-herode,0.0021,TRUE,TRUE,TRUE,TRUE,TRUE
nivelle-prejuge-a-la-mode,nivelle-fausse-antipathie,0.0029,nivelle-ecole-des-amis,0.0058,nivelle-ecole-des-amis,0.0021,FALSE,FALSE,TRUE,TRUE,TRUE
nivelle-ecole-des-amis,nivelle-prejuge-a-la-mode,0.0056,nivelle-prejuge-a-la-mode,0.0058,nivelle-prejuge-a-la-mode,0.0021,TRUE,TRUE,TRUE,TRUE,TRUE
rotrou-celiane,rotrou-amelie,0.0034,rotrou-l-hypocondriaque,0.0063,beys-celine,0.0021,FALSE,FALSE,TRUE,TRUE,FALSE
beys-celine,rotrou-celiane,0.0045,rotrou-agesilan,0.0063,rotrou-celiane,0.0021,FALSE,FALSE,FALSE,FALSE,FALSE
crebillon-pyrrhus,crebillon-xerxes,0.0043,corneillep-pertharite,0.0064,crebillon-semiramis,0.0021,FALSE,FALSE,TRUE,FALSE,TRUE
quinault-agrippa,corneillep-rodogune,0.0062,corneillep-oedipe,0.0065,quinault-astrate,0.0021,FALSE,FALSE,FALSE,FALSE,TRUE
corneillet-mort-d-achille,quinault-agrippa,0.0064,corneillet-theodat,0.0069,corneillet-persee-demetrius,0.0021,FALSE,FALSE,FALSE,TRUE,TRUE
dancourt-bourgeoises-a-la-mode,dancourt-gazette,0.0061,dancourt-gazette,0.0085,dancourt-gazette,0.0021,TRUE,TRUE,TRUE,TRUE,TRUE
dancourt-gazette,dancourt-bourgeoises-a-la-mode,0.0061,dancourt-bourgeoises-a-la-mode,0.0085,dancourt-bourgeoises-a-la-mode,0.0021,TRUE,TRUE,TRUE,TRUE,TRUE
lagrange-chancel-oreste,lagrange-chancel-amasis,0.0067,gresset-edouard-iii,0.0085,nadal-herode,0.0021,FALSE,FALSE,TRUE,FALSE,FALSE
l-estoile-intrigue-des-filous,gillet-campagnard,0.0067,gillet-francion,0.01,moliere-ecole-des-femmes,0.0021,FALSE,FALSE,FALSE,FALSE,FALSE
regnard-divorce,regnard-coquette,0.0061,regnard-coquette,0.0101,regnard-arlequin-aux-enfers,0.0021,FALSE,TRUE,TRUE,TRUE,TRUE
dufresny-jaloux-honteux,marivaux-joie-imprevue,0.0101,marivaux-fausse-suivante,0.0144,dufresny-faux-honnete-homme,0.0021,FALSE,FALSE,FALSE,FALSE,TRUE
marivaux-sinceres,marivaux-petit-maitre-corrige,0.0051,marivaux-surprise-de-l-amour,0.0149,marivaux-ecole-des-meres,0.0021,FALSE,FALSE,TRUE,TRUE,TRUE
